ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0505;ΤΡΙΚΑΛΩΝ;9113;ΠΥΛΗΣ;13.461;12.996;26.457
0505;ΤΡΙΚΑΛΩΝ;9114;ΤΡΙΚΚΑΙΩΝ;32.793;34.092;66.885
0505;ΤΡΙΚΑΛΩΝ;9115;ΦΑΡΚΑΔΟΝΑΣ;9.781;9.639;19.420
0601;ΖΑΚΥΝΘΟΥ;9116;ΖΑΚΥΝΘΟΥ;20.758;21.218;41.976
0602;ΙΘΑΚΗΣ;9117;ΙΘΑΚΗΣ;2.711;2.821;5.532
0603;ΚΕΡΚΥΡΑΣ;9118;ΚΕΡΚΥΡΑΣ;51.836;55.375;107.211
0603;ΚΕΡΚΥΡΑΣ;9119;ΠΑΞΩΝ;1.298;1.385;2.683
0604;ΚΕΦΑΛΛΗΝΙΑΣ;9120;ΚΕΦΑΛΟΝΙΑΣ;25.130;25.513;50.643
0605;ΛΕΥΚΑΔΑΣ;9121;ΛΕΥΚΑΔΑΣ;13.648;13.691;27.339
0605;ΛΕΥΚΑΔΑΣ;9122;ΜΕΓΑΝΗΣΙΟΥ;1.002;1.052;2.054
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9123;ΑΓΡΙΝΙΟΥ;47.532;48.976;96.508
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9124;ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ;10.150;9.760;19.910
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9125;ΑΜΦΙΛΟΧΙΑΣ;12.690;12.472;25.162
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9126;ΘΕΡΜΟΥ;5.495;5.364;10.859
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9127;ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ;17.968;18.398;36.366
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9128;ΝΑΥΠΑΚΤΙΑΣ;17.429;17.809;35.238
0701;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;9129;ΞΗΡΟΜΕΡΟΥ;9.049;8.867;17.916
0702;ΑΧΑΙΑΣ;9130;ΑΙΓΙΑΛΕΙΑΣ;25.928;27.279;53.207
0702;ΑΧΑΙΑΣ;9131;ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ;15.249;15.058;30.307
0702;ΑΧΑΙΑΣ;9132;ΕΡΥΜΑΝΘΟΥ;7.866;7.319;15.185
0702;ΑΧΑΙΑΣ;9133;ΚΑΛΑΒΡΥΤΩΝ;9.828;9.319;19.147
0702;ΑΧΑΙΑΣ;9134;ΠΑΤΡΕΩΝ;77.088;83.503;160.591
0703;ΗΛΕΙΑΣ;9135;ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ;10.607;10.949;21.556
0703;ΗΛΕΙΑΣ;9136;ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ;8.815;8.407;17.222
0703;ΗΛΕΙΑΣ;9137;ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ;9.946;9.591;19.537
0703;ΗΛΕΙΑΣ;9138;ΖΑΧΑΡΩΣ;6.595;6.551;13.146
0703;ΗΛΕΙΑΣ;9139;ΗΛΙΔΑΣ;17.331;17.544;34.875
0703;ΗΛΕΙΑΣ;9140;ΠΗΝΕΙΟΥ;8.238;8.429;16.667
0703;ΗΛΕΙΑΣ;9141;ΠΥΡΓΟΥ;25.350;26.721;52.071
0801;ΒΟΙΩΤΙΑΣ;9142;ΑΛΙΑΡΤΟΥ;5.584;5.729;11.313
0801;ΒΟΙΩΤΙΑΣ;9143;ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ;3.755;3.830;7.585
0801;ΒΟΙΩΤΙΑΣ;9144;ΘΗΒΑΙΩΝ;15.998;16.884;32.882
0801;ΒΟΙΩΤΙΑΣ;9145;ΛΕΒΑΔΕΩΝ;14.533;15.336;29.869
0801;ΒΟΙΩΤΙΑΣ;9146;ΟΡΧΟΜΕΝΟΥ;6.264;6.601;12.865
0801;ΒΟΙΩΤΙΑΣ;9147;ΤΑΝΑΓΡΑΣ;6.889;7.095;13.984
0802;ΕΥΒΟΙΑΣ;9148;ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ;9.855;9.995;19.850
0802;ΕΥΒΟΙΑΣ;9149;ΕΡΕΤΡΙΑΣ;6.496;6.646;13.142
0802;ΕΥΒΟΙΑΣ;9150;ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ;11.446;11.945;23.391
0802;ΕΥΒΟΙΑΣ;9151;ΚΑΡΥΣΤΟΥ;7.863;8.207;16.070
0802;ΕΥΒΟΙΑΣ;9152;ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ;17.476;17.671;35.147
0802;ΕΥΒΟΙΑΣ;9153;ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ;8.105;8.032;16.137
0802;ΕΥΒΟΙΑΣ;9154;ΣΚΥΡΟΥ;1.929;1.922;3.851
0802;ΕΥΒΟΙΑΣ;9155;ΧΑΛΚΙΔΕΩΝ;36.968;38.899;75.867
